"Time","Fridge (Kitchen, 180l)","Halogen lamp 1 (0,5kW)","Power supply for wood boiler ()","Site consumption ()","Total site light consumption ()","Vertical freezer (Cellar, 145l)","Washing machine ()","Water heater ()"
"1998-01-24 05:20:00.0","0","0","11","28","0","7","0","0"
"1998-01-24 05:30:00.0","0","0","12","37","0","20","0","0"
"1998-01-24 05:40:00.0","11","0","11","33","0","3","0","0"
"1998-01-24 05:50:00.0","0","0","11","19","0","0","0","0"
"1998-01-24 06:00:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 06:10:00.0","0","0","11","141","0","0","0","0"
"1998-01-24 06:20:00.0","0","0","11","40","0","17","0","0"
"1998-01-24 06:30:00.0","12","0","10","41","0","12","0","0"
"1998-01-24 06:40:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 06:50:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 07:00:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 07:10:00.0","5","0","11","32","0","7","0","0"
"1998-01-24 07:20:00.0","6","0","11","41","0","19","0","0"
"1998-01-24 07:30:00.0","0","0","10","146","0","3","0","0"
"1998-01-24 07:40:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 07:50:00.0","0","0","11","19","0","0","0","0"
"1998-01-24 08:00:00.0","9","0","10","28","0","0","0","0"
"1998-01-24 08:10:00.0","3","0","11","38","0","17","0","0"
"1998-01-24 08:20:00.0","0","0","11","30","0","12","0","0"
"1998-01-24 08:30:00.0","0","0","11","25","7","0","0","0"
"1998-01-24 08:40:00.0","0","0","10","233","0","0","0","0"
"1998-01-24 08:50:00.0","12","0","11","63","0","0","0","0"
"1998-01-24 09:00:00.0","0","0","10","27","0","8","0","0"
"1998-01-24 09:10:00.0","0","0","11","37","0","19","0","0"
"1998-01-24 09:20:00.0","0","0","11","21","0","2","0","0"
"1998-01-24 09:30:00.0","5","0","10","24","0","0","0","0"
"1998-01-24 09:40:00.0","7","0","11","26","0","0","0","0"
"1998-01-24 09:50:00.0","0","0","10","148","0","0","0","0"
"1998-01-24 10:00:00.0","0","0","11","40","0","18","0","0"
"1998-01-24 10:10:00.0","0","0","11","29","0","12","0","0"
"1998-01-24 10:20:00.0","11","0","10","36","6","0","0","0"
"1998-01-24 10:30:00.0","0","0","11","26","3","0","0","0"
"1998-01-24 10:40:00.0","0","0","10","25","0","0","0","0"
"1998-01-24 10:50:00.0","0","0","11","28","0","9","0","0"
"1998-01-24 11:00:00.0","10","0","11","46","0","19","0","0"
"1998-01-24 11:10:00.0","1","0","10","21","0","2","0","0"
"1998-01-24 11:20:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 11:30:00.0","0","0","11","19","0","0","0","0"
"1998-01-24 11:40:00.0","1","0","11","26","1","0","0","0"
"1998-01-24 11:50:00.0","11","0","11","67","17","20","0","0"
"1998-01-24 12:00:00.0","0","0","10","316","17","10","0","0"
"1998-01-24 12:10:00.0","0","0","10","378","19","0","0","0"
"1998-01-24 12:20:00.0","4","0","11","239","20","0","0","0"
"1998-01-24 12:30:00.0","7","0","10","45","20","0","0","0"
"1998-01-24 12:40:00.0","0","0","11","42","13","11","0","0"
"1998-01-24 12:50:00.0","0","0","11","46","9","19","0","0"
"1998-01-24 13:00:00.0","10","0","10","47","11","0","0","0"
"1998-01-24 13:10:00.0","0","0","11","36","11","0","0","0"
"1998-01-24 13:20:00.0","0","0","10","36","11","0","0","0"
"1998-01-24 13:30:00.0","0","0","11","40","11","3","0","0"
"1998-01-24 13:40:00.0","9","0","11","63","11","20","0","0"
"1998-01-24 13:50:00.0","1","0","10","160","11","7","0","0"
"1998-01-24 14:00:00.0","0","0","10","119","11","0","0","0"
"1998-01-24 14:10:00.0","0","0","11","48","11","0","0","0"
"1998-01-24 14:20:00.0","11","0","10","57","11","0","0","0"
"1998-01-24 14:30:00.0","0","0","11","49","11","14","0","0"
"1998-01-24 14:40:00.0","0","0","10","146","10","16","0","0"
"1998-01-24 14:50:00.0","0","0","10","67","11","0","0","0"
"1998-01-24 15:00:00.0","2","0","11","23","2","0","0","0"
"1998-01-24 15:10:00.0","9","0","10","31","3","0","0","0"
"1998-01-24 15:20:00.0","0","0","11","24","0","5","0","0"
"1998-01-24 15:30:00.0","0","0","10","166","0","19","0","0"
"1998-01-24 15:40:00.0","0","0","11","24","0","6","0","0"
"1998-01-24 15:50:00.0","11","0","11","30","0","0","0","0"
"1998-01-24 16:00:00.0","0","0","10","19","0","0","0","0"
"1998-01-24 16:10:00.0","0","0","11","20","0","0","0","0"
"1998-01-24 16:20:00.0","0","0","10","282","5","19","0","0"
"1998-01-24 16:30:00.0","1","0","10","385","21","10","0","0"
"1998-01-24 16:40:00.0","11","0","10","177","23","0","0","0"
"1998-01-24 16:50:00.0","0","0","10","301","22","0","0","0"
"1998-01-24 17:00:00.0","0","0","10","288","22","0","0","0"
"1998-01-24 17:10:00.0","0","60","11","255","27","9","0","0"
"1998-01-24 17:20:00.0","5","71","9","420","28","19","0","0"
"1998-01-24 17:30:00.0","6","70","10","446","37","0","0","0"
"1998-01-24 17:40:00.0","0","74","10","298","36","0","0","0"
"1998-01-24 17:50:00.0","0","30","10","351","21","0","0","0"
"1998-01-24 18:00:00.0","0","0","10","271","8","0","0","0"
"1998-01-24 18:10:00.0","11","0","11","223","8","20","0","0"
"1998-01-24 18:20:00.0","0","0","10","349","8","9","0","0"
"1998-01-24 18:30:00.0","0","0","10","236","7","0","0","0"
"1998-01-24 18:40:00.0","0","0","11","227","8","0","0","0"
"1998-01-24 18:50:00.0","3","0","10","348","8","0","0","0"
"1998-01-24 19:00:00.0","9","0","10","216","8","13","0","0"
"1998-01-24 19:10:00.0","0","0","11","274","8","17","0","0"
"1998-01-24 19:20:00.0","0","0","10","327","8","0","0","0"
"1998-01-24 19:30:00.0","0","0","11","193","8","0","0","0"
"1998-01-24 19:40:00.0","11","0","10","290","8","0","0","0"
"1998-01-24 19:50:00.0","0","0","10","305","8","3","0","0"
"1998-01-24 20:00:00.0","0","0","11","205","7","20","0","0"
"1998-01-24 20:10:00.0","0","0","10","319","8","6","0","0"
"1998-01-24 20:20:00.0","3","0","11","268","8","0","0","0"
"1998-01-24 20:30:00.0","8","0","10","197","8","0","0","0"
"1998-01-24 20:40:00.0","0","0","11","341","8","0","0","0"
"1998-01-24 20:50:00.0","0","0","10","252","8","16","0","0"
"1998-01-24 21:00:00.0","0","0","11","226","8","13","0","0"
"1998-01-24 21:10:00.0","12","0","10","353","8","0","0","0"
"1998-01-24 21:20:00.0","0","0","11","212","8","0","0","0"
"1998-01-24 21:30:00.0","0","0","10","245","8","0","0","0"
"1998-01-24 21:40:00.0","0","0","11","340","8","7","0","0"
"1998-01-24 21:50:00.0","0","0","10","206","8","19","0","0"
"1998-01-24 22:00:00.0","11","0","11","292","8","3","0","0"
"1998-01-24 22:10:00.0","0","0","10","292","7","0","0","0"
"1998-01-24 22:20:00.0","0","0","11","185","8","0","0","0"
"1998-01-24 22:30:00.0","0","0","10","313","8","0","0","0"
"1998-01-24 22:40:00.0","4","0","10","278","8","17","0","0"
"1998-01-24 22:50:00.0","8","0","11","214","8","11","0","0"
"1998-01-24 23:00:00.0","0","0","10","345","8","0","0","0"
"1998-01-24 23:10:00.0","0","0","11","212","8","0","0","0"
"1998-01-24 23:20:00.0","0","0","11","239","8","0","0","0"
"1998-01-24 23:30:00.0","10","0","10","352","8","7","0","0"
"1998-01-24 23:40:00.0","1","0","11","203","8","20","0","0"
"1998-01-24 23:50:00.0","0","0","11","274","8","2","0","0"
"1998-01-25 00:00:00.0","0","0","10","302","8","0","0","0"
"1998-01-25 00:10:00.0","0","0","10","187","8","0","0","0"
"1998-01-25 00:20:00.0","11","0","11","306","8","0","0","0"
"1998-01-25 00:30:00.0","0","0","10","301","17","18","0","0"
"1998-01-25 00:40:00.0","0","0","10","372","37","11","0","0"
"1998-01-25 00:50:00.0","0","0","11","240","9","0","0","0"
"1998-01-25 01:00:00.0","2","0","10","216","0","0","0","0"
"1998-01-25 01:10:00.0","9","0","10","219","0","0","0","0"
"1998-01-25 01:20:00.0","0","0","10","218","0","7","0","0"
"1998-01-25 01:30:00.0","0","0","11","228","0","20","0","0"
"1998-01-25 01:40:00.0","0","0","10","216","0","2","0","0"
"1998-01-25 01:50:00.0","2","0","10","216","0","0","0","0"
"1998-01-25 02:00:00.0","9","0","11","222","0","0","0","0"
"1998-01-25 02:10:00.0","0","0","10","213","0","0","0","0"
"1998-01-25 02:20:00.0","0","0","11","229","0","17","0","0"
"1998-01-25 02:30:00.0","0","0","10","224","0","12","0","0"
"1998-01-25 02:40:00.0","2","0","10","217","0","0","0","0"
"1998-01-25 02:50:00.0","10","0","11","225","0","0","0","0"
"1998-01-25 03:00:00.0","0","0","10","216","0","0","0","0"
"1998-01-25 03:10:00.0","0","0","11","223","0","6","0","0"
"1998-01-25 03:20:00.0","0","0","10","234","0","19","0","0"
"1998-01-25 03:30:00.0","1","0","11","222","0","4","0","0"
"1998-01-25 03:40:00.0","11","0","10","227","0","0","0","0"
"1998-01-25 03:50:00.0","0","0","11","219","0","0","0","0"
"1998-01-25 04:00:00.0","0","0","11","218","0","0","0","0"
