"Time","Fridge freezer (Kitchen, 195l/152l)","Halogen lamp 1 (0,5kW)","Microwave oven (1,1kW)","Power supply for fuel boiler ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Washing machine ()"
"1998-01-30 18:00:00.0","3","0","0","8","81","31","0","0"
"1998-01-30 18:10:00.0","14","0","0","18","99","30","0","0"
"1998-01-30 18:20:00.0","3","0","0","17","107","49","0","0"
"1998-01-30 18:30:00.0","0","0","0","8","92","45","0","0"
"1998-01-30 18:40:00.0","5","0","0","17","99","37","0","0"
"1998-01-30 18:50:00.0","0","0","0","12","67","17","0","0"
"1998-01-30 19:00:00.0","13","0","0","13","118","36","15","0"
"1998-01-30 19:10:00.0","24","0","0","17","422","16","18","0"
"1998-01-30 19:20:00.0","18","0","0","8","416","29","17","0"
"1998-01-30 19:30:00.0","17","0","0","15","686","34","18","0"
"1998-01-30 19:40:00.0","22","0","0","7","704","33","17","0"
"1998-01-30 19:50:00.0","14","0","0","15","705","34","12","0"
"1998-01-30 20:00:00.0","0","0","0","8","695","53","0","0"
"1998-01-30 20:10:00.0","5","0","0","7","680","34","0","0"
"1998-01-30 20:20:00.0","0","0","0","17","417","35","0","0"
"1998-01-30 20:30:00.0","0","0","0","7","528","33","0","0"
"1998-01-30 20:40:00.0","5","0","0","15","471","67","0","0"
"1998-01-30 20:50:00.0","0","0","0","8","351","34","0","0"
"1998-01-30 21:00:00.0","0","0","0","16","349","20","0","0"
"1998-01-30 21:10:00.0","5","0","0","7","361","41","0","0"
"1998-01-30 21:20:00.0","0","0","0","16","346","29","0","0"
"1998-01-30 21:30:00.0","0","0","0","8","347","43","0","0"
"1998-01-30 21:40:00.0","4","0","0","16","355","34","0","0"
"1998-01-30 21:50:00.0","1","0","0","7","303","0","0","0"
"1998-01-30 22:00:00.0","0","0","0","15","315","0","0","0"
"1998-01-30 22:10:00.0","3","0","0","8","316","0","0","0"
"1998-01-30 22:20:00.0","3","0","0","15","317","3","0","0"
"1998-01-30 22:30:00.0","17","0","0","8","321","3","0","0"
"1998-01-30 22:40:00.0","24","0","0","14","342","0","0","0"
"1998-01-30 22:50:00.0","18","0","0","10","305","0","2","0"
"1998-01-30 23:00:00.0","17","0","0","12","326","2","15","0"
"1998-01-30 23:10:00.0","23","0","0","12","341","0","15","0"
"1998-01-30 23:20:00.0","13","0","0","9","104","12","12","0"
"1998-01-30 23:30:00.0","0","0","0","16","36","1","0","0"
"1998-01-30 23:40:00.0","6","0","0","8","33","0","0","0"
"1998-01-30 23:50:00.0","0","0","0","17","30","0","0","0"
"1998-01-31 00:00:00.0","0","0","0","11","23","0","0","0"
"1998-01-31 00:10:00.0","5","0","0","15","52","19","0","0"
"1998-01-31 00:20:00.0","0","0","0","12","25","0","0","0"
"1998-01-31 00:30:00.0","0","0","0","13","25","0","0","0"
"1998-01-31 00:40:00.0","2","0","0","13","28","0","0","0"
"1998-01-31 00:50:00.0","3","0","0","12","28","0","0","0"
"1998-01-31 01:00:00.0","0","0","0","13","25","0","0","0"
"1998-01-31 01:10:00.0","0","0","0","13","24","0","0","0"
"1998-01-31 01:20:00.0","5","0","0","12","30","0","0","0"
"1998-01-31 01:30:00.0","0","0","0","12","25","0","0","0"
"1998-01-31 01:40:00.0","0","0","0","13","24","0","0","0"
"1998-01-31 01:50:00.0","2","0","0","12","27","0","0","0"
"1998-01-31 02:00:00.0","16","0","0","12","38","0","0","0"
"1998-01-31 02:10:00.0","18","0","0","13","41","0","0","0"
"1998-01-31 02:20:00.0","18","0","0","12","40","0","0","0"
"1998-01-31 02:30:00.0","23","0","0","12","45","0","0","0"
"1998-01-31 02:40:00.0","16","0","0","13","39","0","0","0"
"1998-01-31 02:50:00.0","14","0","0","12","36","0","0","0"
"1998-01-31 03:00:00.0","2","0","0","13","28","0","0","0"
"1998-01-31 03:10:00.0","3","0","0","12","26","0","0","0"
"1998-01-31 03:20:00.0","0","0","0","14","26","0","0","0"
"1998-01-31 03:30:00.0","0","0","0","11","24","0","0","0"
"1998-01-31 03:40:00.0","5","0","0","15","33","0","0","0"
"1998-01-31 03:50:00.0","0","0","0","10","22","0","0","0"
"1998-01-31 04:00:00.0","0","0","0","16","29","0","0","0"
"1998-01-31 04:10:00.0","0","0","0","9","21","0","0","0"
"1998-01-31 04:20:00.0","5","0","0","18","35","0","0","0"
"1998-01-31 04:30:00.0","0","0","0","8","20","0","0","0"
"1998-01-31 04:40:00.0","0","0","0","17","31","0","0","0"
"1998-01-31 04:50:00.0","2","0","0","8","23","0","0","0"
"1998-01-31 05:00:00.0","3","0","0","18","33","0","0","0"
"1998-01-31 05:10:00.0","0","0","0","8","20","0","0","0"
"1998-01-31 05:20:00.0","0","0","0","18","30","0","0","0"
"1998-01-31 05:30:00.0","8","0","0","8","28","0","0","0"
"1998-01-31 05:40:00.0","20","0","0","18","48","0","0","0"
"1998-01-31 05:50:00.0","18","0","0","8","37","0","0","0"
"1998-01-31 06:00:00.0","18","0","0","18","47","0","0","0"
"1998-01-31 06:10:00.0","23","0","0","8","41","0","0","0"
"1998-01-31 06:20:00.0","16","0","0","18","45","0","0","0"
"1998-01-31 06:30:00.0","4","0","0","8","24","0","0","0"
"1998-01-31 06:40:00.0","0","0","0","18","31","0","0","0"
"1998-01-31 06:50:00.0","5","0","0","10","28","0","0","0"
"1998-01-31 07:00:00.0","0","0","0","16","29","0","0","0"
"1998-01-31 07:10:00.0","0","0","0","13","25","0","0","0"
"1998-01-31 07:20:00.0","4","0","0","13","30","0","0","0"
"1998-01-31 07:30:00.0","1","0","41","16","122","0","0","0"
"1998-01-31 07:40:00.0","0","0","0","10","40","2","0","0"
"1998-01-31 07:50:00.0","0","0","0","18","37","8","0","0"
