"Time","Clothes drier (without condenser) ()","Dish washer (12 place setting)","Microwave oven ()","Site consumption ()","Total site light consumption ()","Washing machine ()","Water heater ()"
"1998-01-28 02:10:00.0","0","0","0","37","0","0","0"
"1998-01-28 02:20:00.0","0","0","0","89","0","0","50"
"1998-01-28 02:30:00.0","0","0","0","37","0","0","0"
"1998-01-28 02:40:00.0","0","0","0","26","0","0","0"
"1998-01-28 02:50:00.0","0","0","0","68","0","0","43"
"1998-01-28 03:00:00.0","0","0","0","26","0","0","0"
"1998-01-28 03:10:00.0","0","0","0","67","0","0","41"
"1998-01-28 03:20:00.0","0","0","0","26","0","0","0"
"1998-01-28 03:30:00.0","0","0","0","25","0","0","0"
"1998-01-28 03:40:00.0","0","0","0","66","0","0","39"
"1998-01-28 03:50:00.0","0","0","0","26","0","0","0"
"1998-01-28 04:00:00.0","0","0","0","75","0","0","36"
"1998-01-28 04:10:00.0","0","0","0","60","0","0","0"
"1998-01-28 04:20:00.0","0","0","0","45","0","0","0"
"1998-01-28 04:30:00.0","0","0","0","107","0","0","65"
"1998-01-28 04:40:00.0","0","0","0","41","0","0","0"
"1998-01-28 04:50:00.0","0","0","0","35","0","0","0"
"1998-01-28 05:00:00.0","0","0","0","25","0","0","0"
"1998-01-28 05:10:00.0","0","0","0","27","0","0","0"
"1998-01-28 05:20:00.0","0","0","0","25","0","0","0"
"1998-01-28 05:30:00.0","0","0","0","27","0","0","0"
"1998-01-28 05:40:00.0","0","0","0","38","0","0","0"
"1998-01-28 05:50:00.0","0","0","0","37","0","0","0"
"1998-01-28 06:00:00.0","0","0","0","73","0","0","48"
"1998-01-28 06:10:00.0","0","0","0","26","0","0","0"
"1998-01-28 06:20:00.0","0","0","0","25","0","0","0"
"1998-01-28 06:30:00.0","0","0","0","25","0","0","0"
"1998-01-28 06:40:00.0","0","0","0","43","0","0","0"
"1998-01-28 06:50:00.0","0","0","0","49","0","0","0"
"1998-01-28 07:00:00.0","0","0","0","118","19","0","0"
"1998-01-28 07:10:00.0","0","0","0","104","30","0","0"
"1998-01-28 07:20:00.0","0","0","0","173","36","0","0"
"1998-01-28 07:30:00.0","0","0","0","123","47","0","0"
"1998-01-28 07:40:00.0","0","0","0","82","50","0","0"
"1998-01-28 07:50:00.0","0","0","0","77","45","0","0"
"1998-01-28 08:00:00.0","0","0","0","91","63","0","0"
