"Time","Electric Cooker (hot plate+oven) ()","Fridge freezer (267l/48l)","Microwave oven (1,2kW)","Non halogen lamp 1 (0,5kW)","Site consumption ()","Total site light consumption ()","TV (70cm)","TV ()","Vertical freezer (288l)","Washing machine (800rpm)"
"1998-01-27 19:20:00.0","0","15","0","0","44","0","0","0","0","0"
"1998-01-27 19:30:00.0","0","24","0","0","67","0","0","0","17","0"
"1998-01-27 19:40:00.0","0","4","0","0","38","0","0","0","5","0"
"1998-01-27 19:50:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 20:00:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 20:10:00.0","0","7","0","0","56","0","0","0","22","0"
"1998-01-27 20:20:00.0","0","25","0","0","53","0","0","0","0","0"
"1998-01-27 20:30:00.0","0","12","0","0","42","0","0","0","0","0"
"1998-01-27 20:40:00.0","0","2","0","0","33","0","0","0","1","0"
"1998-01-27 20:50:00.0","0","2","0","0","50","0","0","0","21","0"
"1998-01-27 21:00:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 21:10:00.0","0","19","0","0","48","0","0","0","0","0"
"1998-01-27 21:20:00.0","0","23","0","0","55","0","0","0","5","0"
"1998-01-27 21:30:00.0","0","2","0","0","47","0","0","0","17","0"
"1998-01-27 21:40:00.0","0","2","0","0","33","0","0","0","0","0"
"1998-01-27 21:50:00.0","0","2","0","0","32","0","0","0","0","0"
"1998-01-27 22:00:00.0","0","8","0","0","80","26","7","0","6","0"
"1998-01-27 22:10:00.0","0","25","0","0","91","12","13","0","16","0"
"1998-01-27 22:20:00.0","0","10","0","0","60","8","12","0","0","0"
"1998-01-27 22:30:00.0","0","2","0","0","52","7","12","0","0","0"
"1998-01-27 22:40:00.0","0","3","0","0","75","18","14","0","10","0"
"1998-01-27 22:50:00.0","0","2","0","0","98","40","13","0","11","0"
"1998-01-27 23:00:00.0","0","26","0","0","73","19","0","0","0","0"
"1998-01-27 23:10:00.0","0","16","0","0","63","17","0","0","0","0"
"1998-01-27 23:20:00.0","0","2","0","0","63","17","0","0","13","0"
"1998-01-27 23:30:00.0","0","2","0","0","52","12","0","0","8","0"
"1998-01-27 23:40:00.0","0","2","0","0","49","17","0","0","0","0"
"1998-01-27 23:50:00.0","0","15","0","0","44","0","0","0","0","0"
"1998-01-28 00:00:00.0","0","24","0","0","67","0","0","0","16","0"
"1998-01-28 00:10:00.0","0","5","0","0","27","0","0","0","6","0"
"1998-01-28 00:20:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-28 00:30:00.0","0","2","0","0","20","0","0","0","0","0"
"1998-01-28 00:40:00.0","0","2","0","0","36","0","0","0","18","0"
"1998-01-28 00:50:00.0","0","26","0","0","44","0","0","0","3","0"
"1998-01-28 01:00:00.0","0","16","0","0","32","0","0","0","0","0"
"1998-01-28 01:10:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-28 01:20:00.0","0","2","0","0","35","0","0","0","18","0"
"1998-01-28 01:30:00.0","0","2","0","0","22","0","0","0","3","0"
"1998-01-28 01:40:00.0","0","12","0","0","29","0","0","0","0","0"
"1998-01-28 01:50:00.0","0","25","0","0","39","0","0","0","0","0"
"1998-01-28 02:00:00.0","0","5","0","0","25","0","0","0","2","0"
"1998-01-28 02:10:00.0","0","2","0","0","35","0","0","0","18","0"
"1998-01-28 02:20:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-28 02:30:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-28 02:40:00.0","0","23","0","0","38","0","0","0","0","0"
"1998-01-28 02:50:00.0","0","17","0","0","33","0","0","0","0","0"
"1998-01-28 03:00:00.0","0","2","0","0","30","0","0","0","12","0"
"1998-01-28 03:10:00.0","0","2","0","0","28","0","0","0","9","0"
"1998-01-28 03:20:00.0","0","2","0","0","19","0","0","0","0","0"
"1998-01-28 03:30:00.0","0","8","0","0","26","0","0","0","0","0"
