"Time","Electric Cooker (hot plate+oven) (1,5kW)","Fridge freezer (Kitchen, 325l/75l)","Non halogen lamp 1 ()","Non halogen lamp 2 ()","Site consumption ()","Total site light consumption ()","TV (67cm)","Vertical freezer (Storeroom, 145l)","Washing machine ()"
"1998-01-30 15:50:00.0","0","18","0","0","65","11","17","18","1"
"1998-01-30 16:00:00.0","0","18","0","0","63","9","16","17","0"
"1998-01-30 16:10:00.0","0","19","0","0","63","11","17","17","0"
"1998-01-30 16:20:00.0","0","18","0","0","57","5","16","16","0"
"1998-01-30 16:30:00.0","0","18","0","0","164","10","15","11","0"
"1998-01-30 16:40:00.0","0","18","0","0","408","10","15","0","0"
"1998-01-30 16:50:00.0","0","18","0","0","396","6","6","0","0"
"1998-01-30 17:00:00.0","0","18","0","0","386","3","0","0","0"
"1998-01-30 17:10:00.0","0","4","0","0","418","33","0","0","0"
"1998-01-30 17:20:00.0","0","3","0","0","446","41","0","19","0"
"1998-01-30 17:30:00.0","0","7","0","0","495","39","3","18","0"
"1998-01-30 17:40:00.0","0","21","0","0","471","26","15","17","0"
"1998-01-30 17:50:00.0","70","19","0","0","522","26","15","17","0"
"1998-01-30 18:00:00.0","299","19","0","0","685","19","14","17","0"
"1998-01-30 18:10:00.0","298","19","0","0","383","18","15","16","0"
"1998-01-30 18:20:00.0","253","19","0","0","336","21","15","8","0"
"1998-01-30 18:30:00.0","148","18","0","0","242","50","3","0","0"
"1998-01-30 18:40:00.0","0","19","0","0","102","46","16","0","0"
"1998-01-30 18:50:00.0","0","18","0","0","109","54","15","0","0"
"1998-01-30 19:00:00.0","0","18","0","0","110","53","16","0","0"
"1998-01-30 19:10:00.0","0","18","0","0","126","55","15","19","0"
"1998-01-30 19:20:00.0","0","18","0","0","125","54","16","18","0"
"1998-01-30 19:30:00.0","0","18","0","0","124","55","15","17","0"
"1998-01-30 19:40:00.0","144","4","0","0","272","70","15","17","0"
"1998-01-30 19:50:00.0","304","4","0","0","652","96","15","17","198"
"1998-01-30 20:00:00.0","227","7","0","0","737","94","16","16","314"
"1998-01-30 20:10:00.0","21","20","0","0","699","55","7","4","124"
"1998-01-30 20:20:00.0","0","20","0","0","649","34","0","0","18"
"1998-01-30 20:30:00.0","0","19","0","0","543","35","0","0","12"
"1998-01-30 20:40:00.0","0","19","0","0","131","39","0","0","7"
"1998-01-30 20:50:00.0","0","19","0","0","105","49","5","5","0"
"1998-01-30 21:00:00.0","0","18","0","0","160","54","13","19","0"
"1998-01-30 21:10:00.0","0","18","0","0","515","75","14","18","5"
"1998-01-30 21:20:00.0","0","19","0","0","525","76","14","17","13"
"1998-01-30 21:30:00.0","0","18","0","0","498","63","14","17","0"
"1998-01-30 21:40:00.0","0","18","0","0","486","51","15","17","0"
