"Time","Chest freezer (Storeroom, 191l)","Fridge freezer (172l/94l)","Halogen lamp 1 (0,5kW)","Microwave oven (0,7kW)","Site consumption ()","Total site light consumption ()","TV (36cm)","Washing machine ()"
"1998-01-24 20:30:00.0","14","11","0","0","102","19","8","0"
"1998-01-24 20:40:00.0","14","8","0","0","93","21","8","0"
"1998-01-24 20:50:00.0","10","21","0","0","98","19","8","0"
"1998-01-24 21:00:00.0","0","15","0","0","82","20","8","0"
"1998-01-24 21:10:00.0","0","4","0","0","72","19","8","0"
"1998-01-24 21:20:00.0","0","21","0","0","79","11","8","0"
"1998-01-24 21:30:00.0","15","18","0","0","104","25","8","0"
"1998-01-24 21:40:00.0","15","3","0","0","81","16","7","0"
"1998-01-24 21:50:00.0","15","20","0","0","99","19","8","0"
"1998-01-24 22:00:00.0","15","20","0","0","99","19","8","0"
"1998-01-24 22:10:00.0","14","4","0","0","85","19","8","0"
"1998-01-24 22:20:00.0","15","15","0","0","84","9","8","0"
"1998-01-24 22:30:00.0","14","21","0","0","89","10","8","0"
"1998-01-24 22:40:00.0","14","7","0","0","76","9","7","0"
"1998-01-24 22:50:00.0","15","12","0","0","80","10","8","0"
"1998-01-24 23:00:00.0","14","20","0","0","88","10","7","0"
"1998-01-24 23:10:00.0","14","11","0","0","79","10","8","0"
"1998-01-24 23:20:00.0","14","8","0","0","77","9","7","0"
"1998-01-24 23:30:00.0","14","21","0","0","69","13","1","0"
"1998-01-24 23:40:00.0","14","15","0","0","52","1","0","0"
"1998-01-24 23:50:00.0","4","3","0","0","21","0","0","0"
"1998-01-25 00:00:00.0","0","21","0","0","35","0","0","0"
"1998-01-25 00:10:00.0","0","20","0","0","33","0","0","0"
"1998-01-25 00:20:00.0","8","3","0","0","26","0","0","0"
"1998-01-25 00:30:00.0","16","17","0","0","44","0","0","0"
"1998-01-25 00:40:00.0","15","20","0","0","48","0","0","0"
"1998-01-25 00:50:00.0","14","8","0","0","35","0","0","0"
"1998-01-25 01:00:00.0","15","10","0","0","38","0","0","0"
"1998-01-25 01:10:00.0","14","21","0","0","46","0","0","0"
"1998-01-25 01:20:00.0","15","12","0","0","40","0","0","0"
"1998-01-25 01:30:00.0","14","5","0","0","32","0","0","0"
"1998-01-25 01:40:00.0","14","22","0","0","47","0","0","0"
"1998-01-25 01:50:00.0","14","17","0","0","43","0","0","0"
